0,0.5
1,0.500750722
2,0.501502572
3,0.50225555
4,0.503009659
5,0.5037649
6,0.504521275
7,0.505278786
8,0.506037434
9,0.506797221
10,0.507558149
11,0.50832022
12,0.509083434
13,0.509847795
14,0.510613303
15,0.511379961
16,0.512147769
17,0.512916731
18,0.513686847
19,0.514458119
20,0.51523055
21,0.51600414
22,0.516778892
23,0.517554806
24,0.518331886
25,0.519110133
26,0.519889548
27,0.520670133
28,0.521451891
29,0.522234822
30,0.523018929
31,0.523804212
32,0.524590675
33,0.525378319
34,0.526167146
35,0.526957157
36,0.527748354
37,0.528540739
38,0.529334313
39,0.530129079
40,0.530925039
41,0.531722193
42,0.532520545
43,0.533320095
44,0.534120845
45,0.534922798
46,0.535725955
47,0.536530318
48,0.537335889
49,0.538142669
50,0.53895066
51,0.539759865
52,0.540570284
53,0.541381921
54,0.542194776
55,0.543008851
56,0.543824149
57,0.544640671
58,0.545458418
59,0.546277394
60,0.547097599
61,0.547919036
62,0.548741706
63,0.549565611
64,0.550390754
65,0.551217135
66,0.552044757
67,0.552873621
68,0.553703731
69,0.554535086
70,0.55536769
71,0.556201544
72,0.557036649
73,0.557873009
74,0.558710625
75,0.559549498
76,0.56038963
77,0.561231024
78,0.562073681
79,0.562917604
80,0.563762794
81,0.564609252
82,0.565456982
83,0.566305984
84,0.567156261
85,0.568007815
86,0.568860647
87,0.56971476
88,0.570570155
89,0.571426834
90,0.5722848
91,0.573144054
92,0.574004598
93,0.574866434
94,0.575729564
95,0.57659399
96,0.577459714
97,0.578326738
98,0.579195064
99,0.580064693
100,0.580935628
101,0.581807871
102,0.582681423
103,0.583556287
104,0.584432464
105,0.585309957
106,0.586188768
107,0.587068898
108,0.587950349
109,0.588833124
110,0.589717224
111,0.590602652
112,0.591489409
113,0.592377498
114,0.59326692
115,0.594157677
116,0.595049772
117,0.595943207
118,0.596837982
119,0.597734101
120,0.598631566
121,0.599530378
122,0.60043054
123,0.601332053
124,0.60223492
125,0.603139142
126,0.604044722
127,0.604951662
128,0.605859963
129,0.606769628
130,0.607680659
131,0.608593058
132,0.609506827
133,0.610421968
134,0.611338483
135,0.612256373
136,0.613175643
137,0.614096292
138,0.615018323
139,0.615941739
140,0.616866542
141,0.617792733
142,0.618720314
143,0.619649289
144,0.620579658
145,0.621511424
146,0.622444589
147,0.623379155
148,0.624315124
149,0.625252498
150,0.62619128
151,0.627131472
152,0.628073075
153,0.629016092
154,0.629960525
155,0.630906376
156,0.631853647
157,0.63280234
158,0.633752458
159,0.634704002
160,0.635656975
161,0.636611379
162,0.637567215
163,0.638524487
164,0.639483196
165,0.640443345
166,0.641404935
167,0.642367969
168,0.643332449
169,0.644298377
170,0.645265755
171,0.646234586
172,0.647204872
173,0.648176614
174,0.649149815
175,0.650124478
176,0.651100604
177,0.652078195
178,0.653057254
179,0.654037784
180,0.655019785
181,0.656003261
182,0.656988214
183,0.657974645
184,0.658962558
185,0.659951953
186,0.660942835
187,0.661935204
188,0.662929063
189,0.663924414
190,0.66492126
191,0.665919602
192,0.666919444
193,0.667920786
194,0.668923632
195,0.669927984
196,0.670933844
197,0.671941214
198,0.672950096
199,0.673960494
200,0.674972408
201,0.675985842
202,0.677000797
203,0.678017276
204,0.679035282
205,0.680054815
206,0.68107588
207,0.682098478
208,0.683122611
209,0.684148282
210,0.685175492
211,0.686204245
212,0.687234543
213,0.688266388
214,0.689299782
215,0.690334727
216,0.691371226
217,0.692409282
218,0.693448896
219,0.694490071
220,0.69553281
221,0.696577114
222,0.697622986
223,0.698670428
224,0.699719443
225,0.700770033
226,0.7018222
227,0.702875947
228,0.703931277
229,0.70498819
230,0.706046691
231,0.707106781
232,0.708168463
233,0.709231739
234,0.710296611
235,0.711363082
236,0.712431154
237,0.71350083
238,0.714572112
239,0.715645002
240,0.716719504
241,0.717795618
242,0.718873349
243,0.719952697
244,0.721033666
245,0.722116258
246,0.723200476
247,0.724286321
248,0.725373797
249,0.726462906
250,0.72755365
251,0.728646031
252,0.729740053
253,0.730835717
254,0.731933026
255,0.733031983
256,0.73413259
257,0.73523485
258,0.736338764
259,0.737444336
260,0.738551568
261,0.739660462
262,0.740771021
263,0.741883248
264,0.742997145
265,0.744112714
266,0.745229958
267,0.746348879
268,0.747469481
269,0.748591765
270,0.749715734
271,0.75084139
272,0.751968737
273,0.753097777
274,0.754228511
275,0.755360944
276,0.756495076
277,0.757630912
278,0.758768452
279,0.759907701
280,0.761048661
281,0.762191333
282,0.763335721
283,0.764481827
284,0.765629654
285,0.766779205
286,0.767930482
287,0.769083487
288,0.770238223
289,0.771394693
290,0.772552899
291,0.773712845
292,0.774874532
293,0.776037963
294,0.777203141
295,0.778370068
296,0.779538748
297,0.780709182
298,0.781881374
299,0.783055325
300,0.78423104
301,0.785408519
302,0.786587766
303,0.787768784
304,0.788951576
305,0.790136143
306,0.791322488
307,0.792510615
308,0.793700526
309,0.794892223
310,0.79608571
311,0.797280989
312,0.798478062
313,0.799676932
314,0.800877603
315,0.802080076
316,0.803284355
317,0.804490442
318,0.80569834
319,0.806908051
320,0.808119579
321,0.809332926
322,0.810548095
323,0.811765088
324,0.812983908
325,0.814204558
326,0.815427041
327,0.81665136
328,0.817877517
329,0.819105514
330,0.820335356
331,0.821567044
332,0.822800582
333,0.824035971
334,0.825273215
335,0.826512317
336,0.82775328
337,0.828996106
338,0.830240797
339,0.831487358
340,0.83273579
341,0.833986097
342,0.835238281
343,0.836492345
344,0.837748292
345,0.839006124
346,0.840265846
347,0.841527458
348,0.842790965
349,0.844056369
